card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active
yes,0,27.33333,2.15,,484.4392,no,no,0,6,1,12
no,0,,4.475,0.0002681564,0.0,no,no,2,60,1,15
yes,0,33.25,1.7,,8.778334,no,no,0,146,1,17
yes,0,28.08333,3.0,,174.925,no,no,0,18,1,11
yes,0,27.16667,2.3558,,21.33333,yes,no,2,6,1,5
yes,0,50.0,4.5,,360.995,yes,no,2,301,1,11
yes,0,48.33333,,,114.6017,yes,no,2,192,0,7
yes,0,,,,113.2958,yes,yes,0,16,1,0
yes,0,,,0.01200622,33.5075,yes,no,0,10,1,9
yes,0,63.16667,,0.02048182,93.625,yes,no,1,192,1,15
no,1,32.33333,,,0.0,yes,no,4,18,1,4
yes,0,28.41667,6.9,,415.8058,yes,no,0,14,1,0
yes,0,28.91667,2.75,0.3822784999999999,875.8884,yes,no,1,3,1,3
yes,0,,2.5,0.0831712,173.0233,no,no,0,150,1,5
yes,0,25.66667,2.0,0.0049,7.416666999999999,no,no,0,26,1,13
yes,0,21.91667,2.6875,,165.93,no,no,3,85,1,12
yes,0,27.16667,,,15.583329999999998,no,no,4,36,1,4
yes,0,22.5,1.8,,178.9158,no,no,0,6,0,2
yes,0,25.33333,,0.03501987,44.9425,no,no,1,12,1,0
yes,0,20.16667,,0.1196406999999999,149.5508,no,no,0,3,1,3
yes,0,,,,3.75,no,no,0,4,1,5
no,2,,,0.0004761905,0.0,yes,no,0,77,1,9
yes,0,,2.2348,,82.92084,no,no,0,133,0,5
no,0,,,0.0006741573,0.0,no,no,0,14,1,0
yes,0,,4.01,0.002743142,8.333333,no,no,0,120,1,15
yes,0,,,,3099.505,yes,no,1,120,1,21
yes,0,31.5,,,300.4608,no,no,0,6,1,8
yes,0,,,0.0272399999999999,112.9167,yes,no,1,7,1,7
yes,0,24.66667,2.275,0.04983472,94.145,yes,no,2,31,1,6
yes,0,,3.4,0.07603735,215.4392,no,no,1,12,1,7
yes,0,,1.75,0.02445829,35.16833,yes,no,0,131,1,3
yes,0,,3.25,,22.4625,yes,no,0,48,1,6
yes,0,45.08333,,0.09064,294.58,no,no,0,120,1,12
no,0,35.91667,1.85,0.0006486487,0.0,no,no,0,62,0,0
yes,0,40.91667,,0.00331225,10.29083,yes,no,1,84,1,9
yes,0,54.5,4.3,0.1763946,632.0808,yes,no,1,120,1,6
yes,0,28.16667,,0.1119656999999999,326.5667,yes,no,2,48,0,7
yes,1,34.08333,8.1,,747.67,yes,yes,3,36,1,15
yes,1,,4.0,0.05105425,170.1808,yes,no,5,28,1,7
yes,1,33.91667,2.0,0.9063205,1510.534,no,no,0,12,1,5
no,0,,,0.0004,0.0,no,no,0,18,0,2
yes,0,51.25,5.3,0.04344189,191.7017,no,no,1,108,1,2
no,7,,,,0.0,no,no,3,36,1,11
yes,0,,,,188.1858,no,no,1,12,1,0
no,0,,2.2,0.0005454546,0.0,no,no,0,31,0,0
yes,0,29.0,,0.5263956,1096.657,no,no,0,12,1,14
yes,0,33.5,3.5,0.094966,276.9842,no,no,0,4,1,13
no,1,,,,0.0,no,no,0,28,1,5
no,0,38.75,,,0.0,no,no,0,51,1,1
yes,0,32.16667,,,38.365,no,no,2,24,1,4
yes,1,43.33333,4.8,,1482.368,yes,no,0,3,1,4
yes,0,,,0.01855033,45.87583,yes,no,2,28,1,4
yes,0,,1.638,0.04700183,64.07417,yes,no,0,270,0,1
no,2,,2.9,0.0004137930999999,0.0,no,no,1,102,1,21
yes,0,21.5,2.3779,,35.16667,no,no,0,7,0,5
yes,0,38.25,2.3,0.0676087,129.4167,yes,no,0,3,1,3
yes,0,,8.1,0.09833618,663.7692,yes,no,3,43,1,13
no,2,,,0.0003361345,0.0,no,yes,0,31,1,7
no,0,,,,0.0,no,no,1,54,1,1
yes,0,34.83333,2.75,0.03314945,75.63417,yes,no,0,151,1,11
yes,0,28.16667,3.5,0.0016,3.75,yes,no,1,31,1,7
yes,0,47.16667,7.0,0.05167186,301.2525,yes,no,1,144,1,8
yes,0,28.16667,2.8,,224.5817,no,no,0,5,0,1
yes,0,22.41667,1.95,0.03733385,60.58416999999999,no,no,0,3,1,0
no,0,45.5,,0.0001846154,0.0,no,no,2,34,1,9
yes,0,,2.5,0.2395248,498.9267,no,no,0,2,1,0
yes,1,,3.0,0.003666667,8.333333,no,no,0,60,1,9
yes,0,27.25,1.8,,105.5075,yes,no,2,6,1,4
yes,0,,2.6,,56.33333,yes,no,3,70,1,9
yes,0,,3.6,0.070965,212.4783,yes,no,1,125,1,13
yes,0,23.66667,2.3,0.007781739,14.33167,no,no,2,14,0,0
no,1,21.5,1.78,,0.0,no,no,0,5,1,1
yes,0,21.91667,3.86,0.0003108808,0.0,yes,yes,0,18,1,8
yes,0,45.58333,4.9,0.01453408,58.93083000000001,yes,no,2,159,1,4
no,0,,,,0.0,no,no,0,14,0,0
yes,0,42.25,3.235,,66.26417,yes,no,2,36,1,3
no,2,27.5,,,0.0,no,no,0,24,1,12
yes,0,25.75,1.85,,91.96417,yes,no,0,24,1,9
yes,0,,1.56,0.1660627999999999,215.8817,no,no,0,12,1,0
yes,0,,4.075,0.007014479,22.98667,yes,no,1,101,1,9
no,5,,3.3,,0.0,yes,no,1,75,1,23
yes,0,24.16667,2.51,0.1149625,240.38,no,no,0,10,1,12
yes,0,28.16667,,0.02481051,89.955,yes,no,1,84,0,1
yes,0,26.58333,2.35,,126.6508,no,no,1,26,1,2
yes,0,,4.0,,140.3467,yes,no,0,24,1,4
no,2,35.58333,,,0.0,yes,no,1,63,1,8
yes,0,32.16667,3.0,0.1178903,294.5592,yes,no,2,9,1,0
yes,0,28.66667,3.5,,68.35916999999999,yes,no,5,42,1,12
yes,0,39.75,,,101.4942,yes,no,0,12,1,0
yes,0,34.83333,5.5,0.2375431,1088.739,yes,no,4,12,1,0
yes,0,,3.8,0.01511711,47.7875,yes,no,1,51,1,5
yes,0,22.66667,,0.03404134,50.02833,no,no,0,3,1,0
yes,0,,5.1,,344.0067,yes,no,3,126,1,17
yes,0,46.25,8.94,,188.295,yes,no,0,96,1,17
yes,0,50.33333,7.1,0.04148197,245.3517,yes,no,2,12,1,0
yes,0,32.08333,2.4,0.1426412999999999,285.2825,yes,no,0,96,0,8
yes,1,30.58333,,,17.58333,no,no,0,19,1,12
yes,0,,6.5,0.2897866,1569.677,yes,no,4,117,1,18
yes,0,39.58333,,0.01105884,43.74417,yes,no,1,8,1,9
yes,0,,3.0,,55.760830000000006,yes,yes,1,132,1,22
yes,0,41.66667,2.7,,97.5125,yes,no,2,28,1,11
yes,0,38.83333,5.4,0.01299352,58.05416,yes,yes,0,108,1,17
yes,0,37.08333,,,213.1292,yes,yes,3,120,1,5
yes,0,27.83333,,,95.9975,no,no,0,13,1,0
yes,1,,2.08,,61.19917,yes,no,2,12,1,11
yes,0,,1.511,,0.0,no,no,0,44,1,15
no,1,31.08333,3.0,0.0004,0.0,yes,no,2,51,1,2
yes,0,30.33333,2.6,0.2956862,640.6533,yes,no,0,25,1,4
yes,0,37.41667,,,61.73583000000001,yes,no,2,120,0,4
yes,0,44.58333,,0.01198229,34.53167,yes,no,1,33,1,13
yes,0,25.33333,2.4,,213.2925,no,no,0,5,1,10
yes,0,26.83333,2.32,0.0075862069999999,14.0,no,no,0,2,1,0
yes,0,46.16667,2.58,,164.6433,yes,no,2,120,0,15
yes,0,,2.1,,158.6067,yes,no,1,24,0,11
yes,0,38.41667,2.35,,133.9692,no,no,1,72,1,8
yes,0,46.75,2.8,0.0004285714,0.0,yes,no,1,84,1,2
no,2,,3.7,,0.0,no,no,4,1,1,6
no,0,37.16667,,0.0007142857,0.0,yes,no,3,120,0,8
no,0,25.33333,,0.0004545455,0.0,no,no,0,24,1,33
yes,1,28.25,,,66.30083,yes,no,1,24,1,14
yes,2,35.33333,6.888,0.01023621,58.50583,yes,no,0,5,1,18
no,4,25.41667,4.0,,0.0,no,no,0,36,1,32
yes,0,,,0.06025,100.4167,yes,no,1,38,0,8
no,0,19.0,1.97,0.0006091371,0.0,no,no,1,24,1,2
yes,0,,3.0,,25.5075,no,no,2,3,1,11
yes,0,26.08333,2.75,0.1835625,420.5808,yes,no,1,6,1,11
yes,0,31.25,,0.0743784,309.91,yes,no,2,12,1,12
yes,0,33.66667,2.1,0.0449081,78.25584,no,no,4,12,1,0
yes,0,27.91667,4.0,0.03709175,123.2225,yes,no,2,2,1,0
yes,1,,3.0,,79.17583,yes,yes,0,180,1,12
yes,0,36.83333,,0.1568097,431.1433,no,no,0,3,1,0
no,3,45.41667,2.35,,0.0,no,no,0,36,1,15
no,2,,2.16,0.0005555556,0.0,no,yes,0,74,0,5
yes,0,27.58333,3.9,0.04137513,134.3858,yes,no,3,12,1,6
yes,0,,2.3115,0.02862341,54.96917,no,no,1,158,1,9
yes,0,,1.7,,0.0,no,no,1,14,0,6
yes,0,40.33333,,0.0723855,120.5592,no,no,0,24,1,4
yes,0,23.83333,4.8,,320.4867,no,yes,0,42,1,2
yes,0,34.25,3.0,,1352.4879999999998,yes,no,0,72,1,3
yes,0,21.41667,1.56,0.06716603,87.14917,no,no,0,24,0,5
yes,0,,2.0,,81.265,yes,no,2,200,1,9
yes,0,24.25,,0.2969185,643.3233,no,no,1,10,1,11
yes,0,,4.68,0.03474402,134.9183,yes,no,1,210,1,6
yes,0,34.83333,,0.2582514999999999,860.755,no,yes,0,204,0,6
yes,0,,,,85.97833,yes,no,0,250,1,4
yes,3,47.5,3.1,0.1792845,463.1517,no,no,0,24,1,15
yes,0,,2.8,,134.2008,no,no,0,6,0,3
yes,0,24.08333,,,192.7208,no,no,0,109,1,5
yes,0,24.5,2.1,0.3213480999999999,562.3592,no,no,0,28,1,5
yes,0,22.33333,2.0,0.164968,274.9467,no,no,0,13,1,7
yes,0,33.16667,5.6,0.08529589,398.0475,yes,no,4,84,1,4
yes,0,38.91667,3.0,0.04979033,124.4758,yes,no,1,84,1,11
yes,0,22.16667,2.4,,163.4175,no,no,0,23,1,0
yes,0,,,,93.31,no,no,0,4,1,1
yes,0,24.08333,2.9,,113.2492,yes,no,0,60,1,3
no,0,26.66667,,0.0006,0.0,no,yes,1,63,1,2
yes,0,52.41667,,,37.42916,no,no,0,240,1,6
yes,0,20.25,,0.2048969999999999,341.245,no,no,0,24,1,7
yes,0,25.41667,,0.3715959,508.2908,no,no,0,19,1,9
no,4,22.75,,0.0005128205,0.0,no,no,0,61,1,6
yes,0,24.41667,1.9,0.2731215999999999,432.3592,no,no,0,19,1,6
yes,0,21.5,1.53,0.03650327,46.29167,yes,no,0,22,1,11
yes,0,,3.9946,,253.6292,no,no,0,268,1,2
yes,0,,,0.04630688,61.7425,no,no,0,162,1,11
yes,0,19.41667,1.8,0.08415,125.8917,no,no,0,3,1,0
yes,1,29.83333,3.7,,1836.976,no,no,0,24,1,7
yes,0,28.91667,2.1,0.009285714,15.583329999999998,no,no,0,28,1,5
yes,0,26.66667,,0.03145,51.75,no,no,1,6,1,1
no,1,44.83333,,,0.0,yes,no,0,48,1,1
yes,0,27.0,,,77.28667,yes,no,0,135,1,0
no,1,30.16667,4.16,,0.0,yes,yes,2,37,1,15
yes,0,24.83333,,,240.4842,no,no,1,24,1,5
yes,0,,2.4,0.0337825,67.39833,no,no,1,24,1,4
yes,0,,3.12,0.02673974,69.27333,yes,yes,2,66,1,5
yes,0,31.41667,,,172.5717,yes,no,1,24,1,13
yes,0,40.41667,,0.07675923,199.0042,yes,no,1,60,1,11
no,3,23.16667,1.6213,0.0007401468,0.0,no,no,1,144,0,4
yes,0,,4.3681,,160.4792,yes,no,2,110,1,10
no,0,25.16667,2.5340000000000003,,0.0,no,no,0,14,1,3
no,2,40.58333,,,0.0,yes,no,1,66,1,5
no,7,32.08333,,0.0004418098999999,0.0,no,no,1,60,0,10
yes,0,42.16667,4.04,,44.41333,no,no,0,5,1,6
yes,0,47.33333,,0.2148416,492.2558,no,no,0,156,0,11
yes,0,27.83333,,0.1608052999999999,401.93,no,no,1,24,1,2
yes,0,30.66667,3.15,0.06829016,179.1783,yes,no,1,19,1,9
no,0,,,0.000201005,0.0,yes,no,1,3,1,19
yes,0,31.0,2.6,0.0841927,182.1675,no,no,0,5,1,0
no,0,,8.4,0.0001428570999999,0.0,yes,no,3,6,1,0
yes,0,,1.95,0.03838103,61.9525,no,no,0,40,0,4
yes,0,,3.0,0.032497,80.82584,yes,no,3,134,0,4
yes,0,23.5,,0.003928571,8.333333,yes,no,0,12,1,3
yes,1,,4.55,0.04465253,169.0575,yes,no,1,42,1,10
yes,0,,1.99,0.03496332,57.980830000000005,no,no,2,8,1,5
yes,0,,4.5,0.05416889,203.1333,no,no,2,17,1,0
no,0,35.58333,4.0,,0.0,no,no,2,70,1,1
yes,0,39.08333,3.5,0.06206229,181.015,yes,no,1,42,1,0
no,1,,2.15,0.0005581395,0.0,no,no,0,97,1,1
no,0,,,0.0007407407,0.0,no,no,0,32,1,7
yes,0,31.16667,3.5,,483.0608,no,no,1,14,0,0
yes,0,,2.9,0.006872069,15.940829999999998,yes,yes,1,26,1,3
yes,0,39.25,,0.06364079,180.655,no,yes,1,120,1,7
yes,0,24.83333,4.0,0.00165,4.5833330000000005,no,yes,2,48,1,4
yes,0,27.16667,,0.8778461,1902.0,no,no,0,4,1,7
yes,0,,,0.2071183999999999,356.7817,no,no,0,4,1,17
yes,0,44.66667,2.4,0.0005,0.0,no,no,0,36,1,11
yes,0,25.16667,3.42,0.008915205,24.575,no,no,0,3,1,0
yes,0,21.91667,,0.05414866,302.2467,no,no,0,8,1,6
yes,0,,5.43,,33.215,no,no,0,14,1,11
yes,0,,,,13.68583,no,no,0,12,0,4
yes,0,31.83333,,,116.3525,no,no,0,24,1,7
yes,0,24.66667,,0.05114029,144.3975,no,no,0,12,1,8
yes,0,47.41667,,0.03811111,113.75,yes,yes,2,120,1,12
yes,0,27.16667,,,184.9433,no,no,0,12,1,8
yes,0,49.58333,1.75,,15.3325,yes,no,1,38,1,3
yes,0,32.0,2.5,0.0544468,113.1808,no,no,0,8,1,5
yes,0,,4.5,,37.58333,yes,no,3,144,1,3
no,1,,2.466,,0.0,yes,no,0,14,1,20
yes,0,,,,156.9,no,no,1,38,1,10
no,0,34.25,2.4,0.0005,0.0,no,no,0,27,1,2
yes,0,49.83333,,0.06075971,349.2017,yes,no,3,160,0,0
yes,0,,4.8,,615.1208,yes,no,3,122,1,17
yes,0,20.83333,1.92,0.1300521,208.0833,no,no,0,84,1,6
yes,0,40.33333,,,88.73917,no,no,3,19,0,0
yes,0,,,0.02467697,34.52083,no,no,0,3,0,16
yes,0,,3.5,0.1257411,366.745,no,no,0,19,1,0
yes,1,40.5,2.25,0.02382222,44.0,no,no,0,86,1,10
no,2,30.75,2.315,0.0005183585,0.0,no,no,1,17,1,8
yes,0,30.66667,4.0,0.09011575,299.8858,yes,no,1,37,0,6
yes,0,40.0,4.5,0.09576601,359.1225,no,no,5,2,1,0
yes,0,23.0,3.1782,0.09312976,246.5708,no,no,0,17,1,3
yes,0,23.08333,3.0,0.02586333,63.99166,no,no,0,3,1,0
yes,0,31.33333,,,51.645,yes,no,2,44,0,12
no,0,,2.0,,0.0,no,no,0,7,0,6
yes,0,,3.5,,633.4133,yes,no,0,95,1,17
yes,0,0.5833333,4.0,,242.1283,yes,no,3,24,1,4
no,0,,2.58,0.0004651162999999,0.0,yes,no,0,41,1,11
yes,0,45.58333,11.9999,,200.4933,yes,yes,1,24,1,6
yes,1,0.5,3.7,0.01063703,32.46416,no,no,0,186,0,5
no,0,,1.4340000000000002,0.0008368201,0.0,yes,no,0,12,1,6
yes,0,,3.68,,59.61917,yes,no,3,44,1,11
no,0,23.83333,2.55,,0.0,yes,no,2,24,1,0
no,4,37.25,3.5,0.0003428572,0.0,yes,no,2,15,1,9
yes,0,,,,315.2017,yes,no,1,13,0,4
yes,0,26.25,3.1894,0.09721233,258.2908,no,no,0,10,1,11
yes,0,26.5,2.35,,0.0,no,no,0,36,1,11
no,4,,1.97,0.0006091371,0.0,no,no,0,7,1,6
yes,0,,3.6,,457.4875,yes,no,3,68,1,10
no,1,38.58333,3.2,0.000375,0.0,no,no,2,14,1,6
yes,0,,2.0,0.0033,4.5833330000000005,yes,no,2,38,1,6
yes,0,31.5,,0.3137003,745.0383,yes,no,2,30,1,11
yes,0,24.0,,0.0698588,180.1775,yes,no,1,12,1,23
yes,0,,1.5,0.08980467,111.8392,yes,no,1,14,1,19
yes,0,,,,613.6425,yes,no,0,138,1,4
yes,0,23.83333,,0.1539746,333.6117,no,no,0,6,1,0
yes,0,23.16667,2.85,,207.7133,yes,no,1,50,0,8
yes,0,,3.35,,199.3692,yes,no,0,18,1,2
yes,0,32.58333,1.8142,0.05414067,81.435,yes,no,0,9,1,22
yes,0,,3.6,0.03882722,116.315,yes,yes,4,48,1,8
no,0,31.08333,1.515,0.0007920792,0.0,no,no,2,20,1,0
yes,0,24.83333,2.4,,530.18,no,no,1,24,1,13
no,0,38.66667,,0.0004,0.0,no,no,0,36,0,2
no,7,36.91667,,0.0003428572,0.0,yes,no,2,60,1,7
yes,0,29.75,3.0,0.046713,116.4492,yes,no,1,12,1,8
yes,0,,2.34,0.1833798999999999,357.5908,yes,no,0,108,0,11
yes,0,25.08333,2.1,0.1227771,214.86,no,no,0,26,1,17
yes,0,,,0.1506275,200.5867,yes,no,0,27,1,3
yes,0,26.66667,2.216,0.03075632,56.463330000000006,no,no,0,10,1,2
yes,0,,,0.0060821919999999,17.66667,yes,no,2,20,1,17
no,6,,3.2,0.000375,0.0,no,no,0,88,1,7
no,0,30.91667,2.6,,0.0,no,no,0,5,0,0
yes,1,60.08333,6.1,,479.4367,yes,no,1,244,1,14
no,2,,,,0.0,no,no,0,74,1,16
yes,0,36.91667,,,308.925,yes,no,0,60,1,16
yes,0,,2.184,0.07956502,144.6417,yes,no,0,5,1,14
no,0,66.5,,,0.0,yes,no,3,300,1,13
yes,0,35.16667,,,244.6533,yes,no,1,13,1,9
yes,0,74.16666,,,38.83333,yes,no,0,511,1,10
yes,0,,2.4304,,462.6558,yes,no,2,29,1,17
yes,0,,6.7,0.03858522,214.9342,yes,no,1,300,1,13
no,1,38.33333,,0.0003,0.0,yes,yes,3,40,1,7
no,0,37.83333,5.16,,0.0,yes,yes,0,86,1,1
yes,0,39.66667,5.1,0.05751137,244.4233,yes,no,3,132,1,15
yes,0,44.58333,,0.03867167,135.1842,yes,no,2,150,0,2
yes,0,30.75,,0.03980107,185.7383,yes,no,0,1,0,8
yes,0,23.41667,,0.2670520999999999,413.5975,no,no,0,3,1,4
no,0,27.41667,1.64,,0.0,no,no,0,104,1,0
yes,0,,6.8,0.002705882,14.666670000000002,no,no,0,38,0,5
yes,0,,1.8468,,16.91333,no,no,0,48,1,4
no,0,,1.8,,0.0,no,no,2,4,1,0
no,1,,3.0,0.0004,0.0,yes,no,1,12,1,16
yes,0,36.41667,2.2,,20.33333,yes,no,0,77,1,0
no,1,22.75,1.8,0.0006666667,0.0,no,no,0,6,1,2
yes,0,32.0,,0.0029615379999999,5.5833330000000005,no,no,0,84,1,21
no,0,27.08333,2.0,0.0006,0.0,no,no,0,24,1,4
yes,0,,,0.0572476,238.365,yes,no,3,9,1,0
yes,0,28.66667,4.22,,300.9942,yes,no,1,22,1,3
yes,0,38.16667,,0.1649273,552.3417,no,no,3,102,0,3
yes,0,26.08333,3.0,0.045469,113.5892,no,no,0,28,1,8
yes,0,,,0.03821515,99.91666,no,no,0,14,0,3
yes,0,,,,147.3333,no,no,0,64,1,8
yes,0,29.58333,2.86,,480.3233,no,no,0,47,1,1
yes,0,23.08333,,,304.895,no,no,0,12,1,9
yes,0,,,,63.45667,yes,no,0,12,1,8
yes,0,64.58334,,,149.7,yes,no,1,241,1,8
no,0,,2.5,0.0004799999999999,0.0,no,no,0,36,0,0
yes,0,,,0.06044576,166.0592,no,no,0,2,1,5
yes,0,36.91667,2.2,0.08092181,148.19,no,no,1,8,1,4
yes,1,,3.2,,121.2208,yes,no,1,84,0,12
yes,0,,4.0,0.0480585,160.0283,yes,no,0,27,1,4
yes,0,38.5,5.5689,0.04341593,201.4825,no,no,3,30,1,7
yes,0,36.58333,,0.01020614,59.11917,yes,no,3,18,1,5
no,1,26.25,,,0.0,no,no,0,66,1,3
yes,0,21.5,,0.07795545,356.8792,no,no,0,50,1,0
yes,1,41.41667,,0.07657401,159.1958,no,yes,2,131,0,3
no,1,40.83333,2.5,,0.0,yes,no,1,96,1,8
yes,0,,8.0,0.01700675,112.8783,yes,no,2,18,1,0
yes,0,,1.83,,108.9775,no,no,1,12,0,10
yes,0,27.25,2.9,,91.6875,no,no,0,9,0,3
no,3,,4.7,,0.0,yes,no,3,36,1,8
no,2,23.08333,1.725,0.0006956522,0.0,no,no,0,204,0,5
no,0,37.25,,0.0007718034,0.0,no,no,1,36,1,0
yes,0,,,,462.0208,no,no,2,36,1,2
yes,0,,2.4,0.06928459,138.5692,no,yes,1,96,1,2
yes,0,,2.4,0.1869583,373.4167,no,no,1,54,0,1
yes,0,36.0,,0.121849,304.6225,no,no,1,180,1,5
yes,0,21.41667,,0.2893312,385.775,no,no,0,192,1,3
yes,0,42.08333,,0.1430284,319.43,no,no,1,84,1,0
yes,0,,,,465.9383,no,yes,4,60,1,7
yes,0,24.25,1.6,0.04509,59.78667,no,no,0,43,1,2
yes,0,32.25,2.6,0.07879038,170.4625,no,no,1,76,0,3
yes,0,,,0.1384924,242.195,no,no,2,24,1,7
no,1,28.33333,1.9324,,0.0,no,no,2,74,1,4
yes,0,23.16667,2.5,,478.7125,yes,no,0,12,1,4
no,1,44.58333,1.8,0.0006666667,0.0,no,yes,0,60,1,2
yes,0,,,,98.345,no,no,0,72,1,9
yes,0,24.91667,3.4,,301.0175,no,no,0,17,1,7
yes,0,,2.55,,509.0542,no,no,1,90,1,3
yes,0,47.41667,4.92,0.0448939,183.8983,yes,yes,1,288,1,14
yes,0,26.41667,3.9,,46.52333,no,no,0,30,1,13
yes,0,37.08333,,0.05915846,256.1867,no,no,0,12,0,0
yes,0,,9.0,0.06282978,470.9733,yes,no,3,147,1,6
yes,0,,,0.4582348,2291.174,no,no,2,10,1,0
yes,0,35.5,,,128.4267,yes,no,4,19,1,12
yes,0,44.5,,0.2599927,1949.862,no,no,2,4,1,7
yes,0,20.16667,,0.1538495,269.1533,no,no,1,27,0,6
yes,0,,3.0,,41.48167,no,no,3,18,1,3
yes,0,,2.6,,79.36083,no,no,0,168,1,5
yes,0,54.75,,0.1342037,612.8633,yes,no,1,146,1,4
yes,0,40.33333,8.2,0.02820012,192.4508,yes,no,3,172,1,15
yes,1,,2.5,0.1573136,327.7367,no,no,0,147,1,3
yes,0,28.5,3.0,0.07104634,177.6158,yes,no,0,20,1,0
yes,0,35.5,,,365.9058,yes,no,0,6,1,0
yes,1,56.75,7.572,,41.33333,yes,yes,2,39,1,18
yes,1,,2.0,0.0518389999999999,86.14833,no,no,1,61,1,2
no,3,31.0,3.25,0.0003692308,0.0,no,no,1,72,1,7
no,2,,3.0,,0.0,no,no,0,24,1,4
yes,0,40.75,7.0,0.06458829,376.765,no,no,3,6,1,2
no,7,33.0,,0.00016,0.0,no,no,0,24,1,8
yes,0,,,,189.1767,yes,no,0,23,1,6
yes,0,,3.7,,260.1208,yes,no,0,236,1,6
yes,0,33.16667,,0.1436397,406.9792,yes,no,1,36,1,7
no,1,,,0.0004210526,0.0,no,no,0,60,0,7
yes,0,,2.6,0.05487154,118.7217,no,no,0,33,1,4
yes,0,22.08333,1.5659999999999998,0.07067624,91.7325,no,no,0,18,1,1
yes,0,24.25,,0.1336027999999999,200.2375,yes,no,0,151,1,5
yes,0,,,0.1696903,438.3667,yes,no,2,18,1,3
no,0,25.41667,,0.0008,0.0,no,yes,4,48,0,1
yes,1,19.0,2.19,0.3406356,621.66,no,no,0,59,1,2
yes,0,31.25,,,324.705,yes,no,3,6,1,7
yes,0,,,,148.0592,yes,no,2,72,1,8
yes,0,33.25,,0.3761903,940.3925,yes,no,2,97,1,4
yes,1,,2.95,0.1325831,325.85,no,no,0,24,1,5
yes,0,26.66667,,,30.54833,yes,no,0,24,1,5
yes,0,22.41667,,0.115791,192.8183,no,no,0,8,1,8
yes,0,25.08333,2.8542,,324.0275,no,yes,1,42,1,3
yes,0,26.66667,,,91.98917,no,no,0,42,1,8
yes,0,29.41667,3.65,,267.3483,no,no,0,24,1,17
no,9,35.08333,,0.0007058823,0.0,no,no,0,90,1,10
yes,0,57.33333,,0.009515151,12.25,no,no,0,24,1,3
yes,0,52.16667,2.66,0.04462218,98.57916,yes,no,3,228,1,0
yes,0,41.83333,2.75,0.019072,43.20667,yes,no,1,136,0,9
yes,0,,,,60.06667,no,no,0,25,1,3
no,1,56.75,8.0,0.00015,0.0,yes,no,0,408,1,7
yes,0,,,0.1110255,187.1425,yes,no,1,91,1,1
yes,0,,4.0,,29.975,yes,no,0,16,1,8
yes,0,,6.7,0.07986075,445.8058,yes,no,0,35,1,0
yes,0,29.33333,,0.1795447999999999,374.0517,yes,no,0,70,1,9
yes,0,,3.0,0.0004,0.0,no,no,0,49,1,3
yes,0,25.25,3.2,0.04542718,121.0558,no,no,0,4,1,6
yes,0,27.25,3.18,,240.8208,no,no,2,12,0,0
yes,0,,3.2,0.03100344,82.3425,yes,no,0,23,1,9
yes,1,26.0,,,131.5242,no,no,0,8,1,10
yes,0,,,,215.7392,no,no,0,150,1,18
no,1,32.25,,,0.0,no,no,1,42,0,13
yes,0,,,,517.2117,yes,no,6,3,0,0
yes,0,,3.0,,36.205,no,no,1,30,0,2
yes,0,27.75,2.65,0.07259849,159.655,no,no,0,8,1,0
no,5,,2.236,,0.0,no,no,0,72,1,11
yes,0,39.41667,4.7,,247.2992,yes,no,4,12,1,10
yes,0,,3.48,,21.715,no,no,0,28,1,22
yes,0,23.33333,2.55,0.007960784,16.25,no,no,1,6,1,0
yes,1,43.58333,2.77,,100.3367,yes,no,0,44,1,14
yes,0,47.83333,3.1131,,64.75584,no,no,0,7,1,16
yes,0,18.75,,,103.9167,no,no,0,64,0,1
yes,1,21.16667,1.8,,288.8017,no,no,0,192,1,8
no,1,54.83333,9.4,0.0001276595999999,0.0,yes,no,1,94,0,2
yes,0,35.5,5.5,0.01289636,58.60833,no,no,0,36,1,2
no,0,24.16667,1.5,,0.0,no,no,0,18,1,0
yes,0,,2.7,0.1720774,387.1742,no,no,1,18,1,4
yes,0,23.83333,,0.06976553,136.0408,no,no,0,25,1,9
yes,0,39.91667,4.6,,105.325,no,no,2,4,1,1
yes,0,31.75,,,97.42416,no,no,0,12,1,0
yes,0,,,0.1037453,229.4933,no,no,0,100,1,1
yes,1,36.33333,7.35,,436.275,no,no,0,51,0,14
yes,0,23.0,3.2,0.01710906,45.12417,no,no,0,14,1,0
yes,0,,6.2,,355.9683,yes,no,0,18,1,9
yes,1,,3.27,0.2386927,650.4375,no,no,2,7,1,3
yes,2,49.16667,3.7,0.143523,442.4458,no,no,4,216,1,11
yes,0,,1.75,0.2131486,310.8417,no,no,0,36,1,1
no,0,23.58333,,,0.0,no,yes,2,132,1,1
no,1,,2.7,,0.0,no,no,1,347,0,1
yes,0,,3.7,,426.8325,no,no,0,24,1,2
yes,0,31.66667,3.2,0.01378125,36.25,no,no,1,12,1,1
yes,0,,,0.1304741999999999,337.0583,no,no,1,52,1,3
no,0,,9.0,0.0001333332999999,0.0,no,no,0,132,1,0
yes,3,,,0.2204731,1010.502,no,yes,0,72,1,11
no,0,36.08333,4.1,0.0002926829,0.0,yes,no,2,30,1,0
yes,0,38.33333,,0.2273639999999999,568.2433,yes,no,0,46,1,2
yes,0,,2.8,0.1980021,461.9217,no,no,0,66,1,3
